IC12 Motor Circuitry;dnPTV;SFARI;Motor DE Down;Motor DE Up;Motor Down Modules;Motor Up Modules;Excitatory;Inhibitory;Microglia;Oligodendrocyte;Astrocyte;Endothelial;Developmental Motor Issues;IC12_AND_AUTISM_AND_DEVMOTOR
TNFSF12;;SLC7A5;;;ANKRD31;HADHB;;;;;;;MEF2C;
TNFRSF14;;SLC7A7;;;PPIP5K2;ATRAID;;;;;;;MEGF10;
MTMR1;;SLC9A6;;;PAM;MYOF;;;;;;;METTL23;
MATN4;;SLC9A9;;;GABRB2;CUZD1;;;;;;;METTL5;
SUCLG1;;SLCO1B3;;;N4BP3;ASCC1;;;;;;;MFF;
SUCLA2;;SLITRK2;;;RMND5B;RPS24;;;;;;;MFSD2A;
DPM1;;SLITRK5;;;FAXC;SSFA2;;;;;;;MGAT2;
CDKL1;;SMAD4;;;WASH2P;ITGAV;;;;;;;MIPEP;
FGF18;;SMARCA2;;;MDH2;CCDC54;;;;;;;MITD1;
STK19;;SMARCA4;;;C7orf43;PARP9;;;;;;;MITF;
PER2;;SMARCC2;;;C7orf55-LUC7L2;SPPL2A;;;;;;;MKS1;
CDC123;;SMC1A;;;ZNF711;HERC5;;;;;;;MLH1;
ARHGEF7;;SMC3;;;IGSF1;FGF2;;;;;;;MLH3;
EIF2B4;;SMG6;;;ATP6V1B2;BMPR1B;;;;;;;MLYCD;
EIF2B5;;SMURF1;;;CCDC25;MMRN1;;;;;;;MMAA;
EIF2S2;;SNAP25;;;CHMP7;BMP2K;;;;;;;MMAB;
HERC1;;SND1;;;CRH;CNOT6L;;;;;;;MMACHC;
BSN;;SNTG2;;;MTDH;PARVG;;;;;;;MMADHC;
FOXH1;;SNX14;;;LRP12;FGD4;;;;;;;MN1;
MBD4;;SNX5;;;MAL2;FAM60A;;;;;;;MOGS;
WASF1;;SOD1;;;FAM135B;AEBP2;;;;;;;MPC1;
BTRC;;SON;;;ZNF7;SLCO1C1;;;;;;;MPDU1;
RPS6KA4;;SORCS3;;;SNX30;C1RL;;;;;;;MPI;
HSPB3;;SOS2;;;MRRF;KLRG1;;;;;;;MPLKIP;
KALRN;;SOX5;;;PTGES2;TAPBPL;;;;;;;MPV17;
MAP3K14;;SOX6;;;ST8SIA6;SCAF11;;;;;;;MRE11A;
RNF8;;SPARCL1;;;CAMK2G;NEDD1;;;;;;;MRPS16;
BAZ1B;;SPAST;;;INA;N4BP2L1;;;;;;;MRPS2;
PKD2L1;;SPEN;;;DGKZ;TMBIM6;;;;;;;MRPS22;
SEMA5A;;SPP2;;;TENM4;WDFY2;;;;;;;MRPS34;
UBE2MP1;;SPRY2;;;PAK1;LPAR6;;;;;;;MSH2;
DOK2;;SPTBN1;;;AASDHPPT;DIAPH3;;;;;;;MSH6;
SYT7;;SRCAP;;;SCN2B;ZIC5;;;;;;;MSTO1;
ANGPTL1;;SRGAP3;;;LSM14B;RAB20;;;;;;;MT-ATP6;
LDB2;;SRPRA;;;TRPT1;GRTP1;;;;;;;MT-CO1;
UNC119;;SRRM2;;;ALDOA;TMX1;;;;;;;MT-CO2;
CXorf1;;SRSF11;;;FAM57B;PELI2;;;;;;;MT-CO3;
SYNGR1;;SSRP1;;;ADRA2A;STON2;;;;;;;MT-ND1;
NEURL;;ST7;;;DLAT;GPR65;;;;;;;MT-ND2;
DGKI;;ST8SIA2;;;ITPR1;PTGR2;;;;;;;MT-ND3;
TMSB10;;STAG1;;;GPR158;TCF12;;;;;;;MT-ND4;
MYOM2;;STX1A;;;SLC2A13;BNIP2;;;;;;;MT-ND5;
MAP3K13;;STXBP1;;;EIF4E;SRP14;;;;;;;MT-ND6;
AP4M1;;STXBP5;;;MAGI1;TLE3;;;;;;;MTFMT;
ARHGEF2;;STYK1;;;AKAP6;ETFA;;;;;;;MTHFR;
SLC16A7;;SUPT16H;;;VPS26B;BCL2A1;;;;;;;MTM1;
KCNAB3;;SYAP1;;;DPYSL4;IGF1R;;;;;;;MTO1;
DCLK1;;SYBU;;;MFSD6;CYP11A1;;;;;;;MTOR;
LARGE;;SYCE1;;;ASAP2;SCAMP2;;;;;;;MTR;
DLGAP2;;SYN1;;;SLC25A4;RHCG;;;;;;;MTRR;
DLGAP1;;SYN2;;;SACS;RLBP1;;;;;;;MTX2;
PTTG1;;SYNCRIP;;;BEND6;IQGAP1;;;;;;;MUT;
PNMA1;;SYNE1;;;GLT1D1;SEC11A;;;;;;;MVK;
MSC;;SYNGAP1;;;RABGAP1L;TGFB1I1;;;;;;;MYL1;
CRLF1;;SYNJ1;;;ASTN1;IGSF6;;;;;;;MYL2;
BZRAP1;;SYP;;;FAM168B;TXNL4B;;;;;;;MYO18B;
ITGB1BP1;;SYT1;;;SETBP1;NLRC5;;;;;;;MYO1H;
BCL7B;;TAF1;;;ATP5A1;GCSH;;;;;;;MYO5A;
WDR46;;TAF1C;;;C18orf25;IRF8;;;;;;;MYOD1;
ZBTB22;;TAF4;;;GUCY1A2;RPS2;;;;;;;MYOT;
C5orf13;;TAF6;;;HOMER1;TOB1;;;;;;;MYPN;
PTER;;TANC2;;;PFKM;SS18;;;;;;;NACC1;
CNOT8;;TAOK1;;;HNRNPDL;SLMO1;;;;;;;NADK2;
GLP2R;;TAOK2;;;RAB3C;IMPA2;;;;;;;NAGA;
NDST3;;TBC1D23;;;NRSN1;SLC14A1;;;;;;;NAGS;
LHX2;;TBC1D31;;;ANAPC1;SLC13A5;;;;;;;NALCN;
KIF3B;;TBC1D5;;;RASSF3;PIK3R5;;;;;;;NANS;
PPT2;;TBCK;;;PTPRD;TP53;;;;;;;NARS2;
TM9SF2;;TBL1XR1;;;JAZF1;SLC16A3;;;;;;;NBAS;
NRXN1;;TBR1;;;DGKE;WDR45B;;;;;;;NDN;
SLC22A14;;TBX1;;;GDPD1;DYM;;;;;;;NDNF;
HS6ST1;;TBX22;;;PPP2R5E;ERBB2;;;;;;;NDNL2;
STOML1;;TCF20;;;ANKRD29;GRB7;;;;;;;NDP;
CHST2;;STK39;;;THY1;FKBP10;;;;;;;NDST1;
HOMER1;;SYT17;;;TBCEL;hsa-mir-1199;;;;;;;NDUFA10;
RASAL2;;TBCEL;;;ANKH;VAV1;;;;;;;NDUFA11;
PICK1;;TBL1X;;;TBRG1;IFITM3;;;;;;;NDUFA12;
ATG5;;TCEAL1;;;NRGN;EMP3;;;;;;;NDUFA13;
ROCK2;;TCF4;;;FAM134B;MYO1F;;;;;;;NDUFA2;
CABP1;;TCF7L2;;;TOMM70A;C19orf52;;;;;;;NDUFA4;
CHST10;;TDO2;;;MIA3;SIGLEC10;;;;;;;NDUFA6;
PIGL;;TECTA;;;FAM69A;RPS11;;;;;;;NDUFA9;
PIGB;;TEK;;;ATP5G3;RPL13A;;;;;;;NDUFAF1;
PGS1;;TERB2;;;WNT7A;CTU1;;;;;;;NDUFAF2;
AKAP5;;TERF2;;;PLCL2;SLC2A5;;;;;;;NDUFAF3;
ADAMTS3;;TET2;;;RAB6B;EPHA2;;;;;;;NDUFAF4;
PMPCB;;TET3;;;KLF10;RPL11;;;;;;;NDUFAF5;
FXR2;;TFB2M;;;PTPRN2;MAP3K6;;;;;;;NDUFAF6;
STXBP5L;;TFE3;;;ATP6V1C1;GPN2;;;;;;;NDUFB10;
BAG5;;THBS1;;;TMEM55A;RPS8;;;;;;;NDUFB11;
BAG4;;THRA;;;TTC39B;MOB3C;;;;;;;NDUFB3;
POLR1C;;TLK2;;;PI4K2A;SYPL2;;;;;;;NDUFB8;
EI24;;TM4SF19;;;ZFYVE27;SLC44A3;;;;;;;NDUFB9;
GABBR2;;TM4SF20;;;FAM126B;CD53;;;;;;;NDUFC2;
CLOCK;;TM9SF4;;;ELMO1;ALDH9A1;;;;;;;NDUFS1;
PREPL;;TMEM134;;;RRAGA;POU2F1;;;;;;;NDUFS2;
ENTPD4;;TMEM39B;;;SLC24A2;ADCY10;;;;;;;NDUFS3;
MAD2L1BP;;TMLHE;;;MICU3;FCGR2A;;;;;;;NDUFS4;
PITPNM1;;TNPO3;;;GPR61;ABL2;;;;;;;NDUFS6;
GDA;;TNRC6B;;;KCNMA1;TOR1AIP1;;;;;;;NDUFS7;
GNA14;;TNRC6C;;;PCGF6;LYPLAL1;;;;;;;NDUFS8;
FEZ2;;TNS2;;;PCDH1;MCL1;;;;;;;NDUFV1;
MICAL2;;TOP2B;;;PPP2R2B;ANP32E;;;;;;;NDUFV2;
CTR9;;TOP3B;;;HK1;SELENBP1;;;;;;;NEB;
IQCB1;;TPO;;;NODAL;GOLPH3L;;;;;;;NECAP1;
PDE4DIP;;TRAF7;;;NPTN;GABPB2;;;;;;;NEDD4L;
WSCD2;;TRAPPC2L;;;UNC5D;VASH2;;;;;;;NEFL;
KIAA0406;;TRAPPC6B;;;NSMCE2;TP53BP2;;;;;;;NEK1;
HISPPD2A;;TRAPPC9;;;LHFPL4;RAB13;;;;;;;NEMF;
DEPDC5;;TLE3;;;EIF4A2;S100A8;;;;;;;NEU1;
RAPGEF2;;TRIM23;;;NMNAT2;SLC39A1;;;;;;;NF1;
CROCC;;TRIM32;;;ZFYVE9;CREB3L4;;;;;;;NFIA;
RIMS2;;TRIO;;;ATP2B2;KCNN3;;;;;;;NFIX;
SAPS2;;TRIP12;;;LRP8;RIT1;;;;;;;NHLRC2;
FAM131B;;TRPC6;;;FAM81A;SRP9;;;;;;;NIPBL;
AQR;;TRPM1;;;DYRK1A;SDE2;;;;;;;NKAP;
SEC14L5;;TRPM6;;;KCNJ6;ITPKB;;;;;;;NKX2-1;
NOS1AP;;TRRAP;;;TAB3;LBR;;;;;;;NKX2-5;
SEMA3E;;TSC1;;;DGKI;EPHX1;;;;;;;NKX6-2;
UTP14C;;TSC2;;;BRAF;HNRNPLL;;;;;;;NMNAT1;
RAB11FIP3;;TSHZ3;;;PSMG3;GALM;;;;;;;NODAL;
KIAA0408;;TSPAN17;;;CABP1;RPS27A;;;;;;;NOP56;
DOCK4;;TSPAN4;;;C12orf43;SFXN5;;;;;;;NOTCH3;
GPRASP1;;TSPAN7;;;EXTL1;UBXN4;;;;;;;NOVA2;
AP000751.3;;TSPOAP1;;;GPRASP2;KANSL1L;;;;;;;NPC1;
CLSTN3;;TTI2;;;KCNB1;RHBDD1;;;;;;;NPC2;
SNPH;;TTN;;;PPP1R9A;ACKR3;;;;;;;NR2F1;
ZSCAN12;;TUBGCP5;;;GDPD5;CTDSP1;;;;;;;NRAS;
AD000671.1;;UBE3A;;;DYNC1I1;FAM198A;;;;;;;NRROS;
FRMPD4;;UBE3C;;;SPATA2L;SLC22A14;;;;;;;NRXN1;
TOX;;UBN2;;;PINK1;CTDSPL;;;;;;;NSD1;
RP5-1187M17.1;;TRPC5;;;NDUFS2;RPL32;;;;;;;NSDHL;
KIAA0513;;TSHZ1;;;CCAR2;IL17RD;;;;;;;NSUN2;
RAPGEF5;;UBAP2L;;;FBXW5;LRIG1;;;;;;;NTRK2;
RIMS3;;UBR5;;;SYNJ1;NFKBIZ;;;;;;;NUBPL;
SNX17;;UIMC1;;;SV2A;PLA1A;;;;;;;NUP107;
DHX38;;UNC13A;;;ATP5G1;IGSF11;;;;;;;NUP133;
AC105206.1;;UNC5D;;;ATP13A2;ALDH1L1;;;;;;;NUP62;
TATDN2;;UNC79;;;CELF3;LPP;;;;;;;NUS1;
TOMM20;;UNC80;;;CTBP1;CENPC;;;;;;;OCLN;
RNF40;;UPF2;;;ATP6V0D1;DDIT4L;;;;;;;OCRL;
RB1CC1;;UPF3B;;;FAM131B;TIFA;;;;;;;OFD1;
ARMCX2;;USH2A;;;ABR;METTL14;;;;;;;OGDH;
SPATA2;;USP15;;;CALM3;USP53;;;;;;;OPHN1;
ARHGEF11;;USP30;;;VMA21;RPS3A;;;;;;;ORAI1;
KIAA0748;;USP45;;;KALRN;PDGFC;;;;;;;OSGEP;
PLEKHM1;;USP7;;;SLC2A6;CYP4V2;;;;;;;OSTM1;
ELMO1;;USP9X;;;BRSK1;MYO10;;;;;;;OTUD5;
KIAA0753;;USP9Y;;;SIK3;FAM105A;;;;;;;OTX2;
RUSC2;;VAMP2;;;PCSK7;RPL37;;;;;;;OXR1;
C2CD2L;;VEZF1;;;VPS11;OSMR;;;;;;;P4HB;
KIAA0649;;VIL1;;;UBE2Q1;LHFPL2;;;;;;;PACS1;
MAGI2;;VPS13B;;;CHRNB2;IQGAP2;;;;;;;PAM16;
SETDB1;;VSIG4;;;RUSC1;LIX1;;;;;;;PARS2;
KIAA0317;;VWA7;;;NACC1;FEM1C;;;;;;;PAX6;
SEC24D;;WAC;;;ORAI2;G3BP1;;;;;;;PAX7;
DDX46;;WASF1;;;CELF5;PSD2;;;;;;;PAX8;
NUAK1;;WDFY3;;;AP2M1;PPP1R18;;;;;;;PBX1;
SV2B;;WDFY4;;;ABCF3;FGD2;;;;;;;PCBD1;
SRGAP3;;WDR26;;;PLXDC1;PHIP;;;;;;;PCCA;
SGSM2;;WNK3;;;FAM171A2;PRSS35;;;;;;;PCCB;
AC005277.1;;WNT1;;;CCDC78;PNRC1;;;;;;;PCDH12;
SUPT7L;;WWOX;;;FLYWCH2;PM20D2;;;;;;;PCDH19;
ARNT2;;WWP1;;;ZNF75A;GPR6;;;;;;;PCGF2;
SEC16A;;XPC;;;SHANK2;SLC18B1;;;;;;;PCLO;
KBTBD11;;XPO1;;;GNG3;SLC2A12;;;;;;;PCYT1A;
IQSEC1;;XRCC6;;;RPS6KA4;GNA12;;;;;;;PDE10A;
JOSD1;;YEATS2;;;ELAVL4;EGFR;;;;;;;PDE2A;
MAFB;;YTHDC2;;;COA7;MEPCE;;;;;;;PDE4D;
DCLRE1A;;YWHAE;;;ZYG11B;DENND2A;;;;;;;PDE6D;
ARHGAP25;;YWHAG;;;SLC45A1;TMEM47;;;;;;;PDHA1;
GFPT2;;YWHAZ;;;PEF1;MSN;;;;;;;PDHB;
AMMECR1;;YY1;;;CAMK2N1;CHST7;;;;;;;PDHX;
HS3ST4;;ZBTB16;;;FAM102B;KRBOX4;;;;;;;PDP1;
HS3ST2;;ZBTB20;;;EXTL2;NONO;;;;;;;PDSS2;
HS3ST1;;ZBTB7A;;;CADM3;ACRC;;;;;;;PDX1;
MED12;;ZC3H11A;;;KCNJ9;RPL10;;;;;;;PET100;
DOPEY2;;TRIM33;;;CNST;HMBOX1;;;;;;;PET117;
AKT3;;UBE2H;;;KCNF1;ERLIN2;;;;;;;PEX1;
ABI1;;UBR1;;;KCNJ3;RGS20;;;;;;;PEX10;
PDCD6;;VASH1;;;CCDC104;PPAPDC1B;;;;;;;PEX11B;
SH2B3;;VDR;;;VSNL1;ADHFE1;;;;;;;PEX12;
CHAF1A;;WDR5;;;SMARCAD1;PMP2;;;;;;;PEX13;
PARP2;;ZBTB21;;;IGFN1;LACTB2;;;;;;;PEX14;
HMGXB4;;ZC3H4;;;ATP1A1;RPL7;;;;;;;PEX16;
SH2D3C;;ZFYVE26;;;EIF4E3;AK3;;;;;;;PEX19;
UBA2;;ZMIZ1;;;TMEM169;PLIN2;;;;;;;PEX2;
SAE1;;ZMYM2;;;TRIM46;HAUS6;;;;;;;PEX26;
ABCF2;;ZMYND11;;;CCDC141;NTRK2;;;;;;;PEX3;
SNUPN;;ZMYND8;;;SERPINI1;STOM;;;;;;;PEX5;
ATP9A;;ZNF18;;;EIF5A2;REXO4;;;;;;;PEX6;
PQBP1;;ZNF292;;;PPM1L;RPL7A;;;;;;;PEX7;
ARPC4;;ZNF385B;;;CADPS;NACC2;;;;;;;PGAP2;
TSPAN5;;ZNF462;;;CDS1;SLC39A12;;;;;;;PGAP3;
ARPC2;;ZNF517;;;GMPS;RSU1;;;;;;;PGM3;
ACTR1B;;ZNF548;;;SMIM14;PARD3;;;;;;;PHACTR1;
ARL4A;;ZNF559;;;ABHD6;HERC4;;;;;;;PHF21A;
RASGRP1;;ZNF626;;;PRRT3;GLUD1;;;;;;;PHF6;
C4orf6;;ZNF711;;;U2SURP;ADD3;;;;;;;PHIP;
RBM5;;ZNF713;;;WDR43;EIF4EBP2;;;;;;;PHKB;
RNF41;;ZNF774;;;MEAF6;ITPRIP;;;;;;;PHOX2B;
USPL1;;ZNF804A;;;SENP2;ADAM12;;;;;;;PHYH;
CTDSPL;;ZNF827;;;ARHGEF3;RGS10;;;;;;;PI4KA;
LRRC23;;ZSWIM6;;;PIGX;HSD17B12;;;;;;;PIBF1;
RASGRP2;;ZWILCH;;;METAP1;PAMR1;;;;;;;PIGA;
SLC35B1;;;;;DNAJB14;SERPINH1;;;;;;;PIGB;
KCNMB2;;;;;SLC9B2;RPS3;;;;;;;PIGH;
RABEPK;;;;;APEH;ZC3H12C;;;;;;;PIGK;
POP7;;;;;RNF123;MTA2;;;;;;;PIGL;
SPRY1;;;;;WDR82;FADS1;;;;;;;PIGN;
SPRY2;;;;;TMEM155;ROM1;;;;;;;PIGO;
AKAP8;;;;;MAP9;EML3;;;;;;;PIGP;
STUB1;;;;;LMBRD2;MPZL2;;;;;;;PIGQ;
PRSS16;;;;;SLC25A46;FERMT3;;;;;;;PIGS;
SPEG;;;;;STARD4;PLCB3;;;;;;;PIGT;
SF3A1;;;;;ANKRD33B;TMEM219;;;;;;;PIGU;
DNAJA2;;;;;RICTOR;ITGB1;;;;;;;PIGV;
KATNB1;;;;;PAPD4;FCGR1A;;;;;;;PIGW;
CCNO;;;;;UBLCP1;ARID5B;;;;;;;PIGY;
DSCR3;;;;;SEPT8;LATS2;;;;;;;PIK3CA;
SIRPB1;;;;;SFXN1;PDCD4;;;;;;;PIK3CD;
B3GNT3;;;;;STXBP5;SPATA4;;;;;;;PIK3R2;
HMG20A;;;;;HCN1;VEGFC;;;;;;;PLA2G6;
CBARA1;;;;;MYOZ3;RGS18;;;;;;;PLAA;
CACNG3;;;;;SLU7;IL18;;;;;;;PLAGL1;
CACNG2;;;;;RELL2;FREM2;;;;;;;PLCB1;
CITED2;;;;;LMTK2;FOXO1;;;;;;;PLCB3;
SEMA3A;;;;;ADCY1;SLC7A11;;;;;;;PLCB4;
SYCP2;;;;;KCNV1;GXYLT1;;;;;;;PLEKHG2;
CORO2B;;;;;OXR1;TWF1;;;;;;;PLXND1;
BASP1;;;;;CDK5;NPAS3;;;;;;;PMM2;
SPON2;;;;;YWHAZ;MIPOL1;;;;;;;PMP22;
PRMT5;;;;;SLC25A32;KCTD14;;;;;;;PMPCB;
CD2BP2;;;;;PDP1;FER;;;;;;;PMS2;
UBAC1;;;;;FAM219A;EPS8;;;;;;;PNKP;
CDIPT;;;;;DIRAS2;CCDC175;;;;;;;PNPLA6;
LYPLA1;;;;;ZMAT4;BAG3;;;;;;;PNPO;
OLFM1;;;;;DYNLT3;KCNE4;;;;;;;PNPT1;
TIMM17A;;;;;STRBP;TMEM56;;;;;;;POC1A;
MCRS1;;;;;FBXO33;HSPB8;;;;;;;POGZ;
FAM3C;;;;;PGM2L1;ARL11;;;;;;;POLE;
PPIE;;;;;KLHDC2;PSTPIP2;;;;;;;POLG;
BAIAP2;;;;;VDAC2;PDE3B;;;;;;;POLG2;
TIMM44;;;;;GHITM;CWF19L2;;;;;;;POLR3A;
UBE2E3;;;;;HPRT1;JMY;;;;;;;POMGNT1;
NXF1;;;;;FAM69B;ZNF547;;;;;;;POMGNT2;
SEC23B;;;;;RET;TMEM123;;;;;;;POMK;
CAP2;;;;;STK32C;SPARCL1;;;;;;;POMT1;
VTI1B;;;;;KIAA1462;MBNL1;;;;;;;POU1F1;
STK25;;;;;NSMF;NADK2;;;;;;;POU3F3;
SEMA6B;;;;;VWA2;GJA1;;;;;;;PPA2;
DEAF1;;;;;TRUB1;ANKRD22;;;;;;;PPM1D;
KAT5;;;;;HSPA12A;HHEX;;;;;;;PPP1CB;
ATG7;;;;;SLC39A13;PLOD2;;;;;;;PPP1R15B;
LEPREL2;;;;;MOAP1;GPR125;;;;;;;PPP3CA;
SLC35A1;;;;;IFI27L1;MR1;;;;;;;PPT1;
OLFM4;;;;;KCNC2;CARHSP1;;;;;;;PRDM5;
SLU7;;;;;SVOP;DAB2;;;;;;;PRDX1;
DPYSL4;;;;;FBN1;CETN3;;;;;;;PREPL;
MRPL28;;;;;LRTM2;AHCTF1;;;;;;;PRF1;
TACC2;;;;;BTRC;MERTK;;;;;;;PRKCG;
C6orf108;;;;;BAG5;C16orf89;;;;;;;PRKD1;
CDC42EP3;;;;;LARP6;ING1;;;;;;;PRNP;
SPAG5;;;;;ARIH1;CMTM7;;;;;;;PRODH;
TGOLN2;;;;;SCN3B;KCNJ16;;;;;;;PROK2;
POLR3F;;;;;APBB1;LGI4;;;;;;;PROKR2;
POSTN;;;;;TRIM44;DDAH1;;;;;;;PROP1;
RASL10A;;;;;TAF10;ANKFN1;;;;;;;PRPS1;
GAS2L1;;;;;NETO1;MSI2;;;;;;;PRSS12;
RGS14;;;;;IDH3A;IMPACT;;;;;;;PRUNE;
LEFTY1;;;;;ATMIN;C16orf74;;;;;;;PRX;
SPHAR;;;;;TMX3;PITPNC1;;;;;;;PSAP;
CAMKK2;;;;;PRKCB;C4orf19;;;;;;;PSAT1;
KHDRBS3;;;;;BEAN1;TNIK;;;;;;;PTCH1;
KHDRBS1;;;;;NDEL1;FAM167A;;;;;;;PTDSS1;
CUGBP1;;;;;NGFRAP1;ENAH;;;;;;;PTPLA;
CUGBP2;;;;;C16orf45;PDLIM3;;;;;;;PTPN11;
CTCF;;;;;CLPX;GABPA;;;;;;;PTPN23;
FARS2;;;;;CACNG2;FLCN;;;;;;;PTRH2;
CGREF1;;;;;PIP4K2C;APCDD1;;;;;;;PTS;
GNB5;;;;;YWHAB;ACSS1;;;;;;;PUF60;
PNMA2;;;;;SCG5;GTF3C6;;;;;;;PUM1;
FUT9;;;;;NYAP1;SAMSN1;;;;;;;PURA;
TBR1;;;;;CCNDBP1;GRAMD3;;;;;;;PUS1;
AP4B1;;;;;MAP1A;RHOC;;;;;;;PUS3;
NRG3;;;;;MAPRE2;DBI;;;;;;;PYCR1;
NFAT5;;;;;SLC27A4;SLC7A7;;;;;;;PYCR2;
NUDC;;;;;ENDOG;CNOT8;;;;;;;PYGL;
RFPL3S;;;;;FN3K;NUP205;;;;;;;PYROXD1;
RFPL3;;;;;IRGQ;PIK3AP1;;;;;;;QARS;
RFPL1-AS1;;;;;ZNF641;VSIG4;;;;;;;QDPR;
RAI1;;;;;CACNB3;ALS2CR11;;;;;;;QRICH1;
PLK2;;;;;RAB4B;SLC26A2;;;;;;;RAB11A;
ARPP19;;;;;ATCAY;SLA;;;;;;;RAB18;
ARPP-21;;;;;UBXN6;TTC18;;;;;;;RAC1;
WDR4;;;;;SEMA6B;GNA14;;;;;;;RAD21;
NCKAP1;;;;;MFSD3;WIF1;;;;;;;RAF1;
SDCCAG8;;;;;OTUB1;PPEF2;;;;;;;RAI1;
SDCCAG3;;;;;RCOR2;BACH1;;;;;;;RALGAPA1;
HSPH1;;;;;SPRYD3;RPGR;;;;;;;RARB;
WASF3;;;;;NDUFV1;RPL30;;;;;;;RARS;
NOXA1;;;;;PRDX2;EEF1A1;;;;;;;RARS2;
CPLX1;;;;;ATP5H;CD109;;;;;;;RASA2;
CCL27;;;;;TMEM88;ZFAND3;;;;;;;RBM10;
RUVBL2;;;;;ABCA3;ATAD2;;;;;;;RD3;
CYP46A1;;;;;BSCL2;CPT2;;;;;;;RDH12;
TSPAN9;;;;;ENTPD3;NECAP2;;;;;;;RELN;
USP19;;;;;MAP4K2;MMP14;;;;;;;RERE;
NMU;;;;;KCNJ4;TSC22D3;;;;;;;RET;
MRPS30;;;;;RNF187;TMEM164;;;;;;;REV3L;
NPFFR2;;;;;KIF5C;C2CD2;;;;;;;RFT1;
PPARGC1A;;;;;CDC40;ZNF618;;;;;;;RHOBTB2;
CPSF4;;;;;CHRM1;GAREML;;;;;;;RIN2;
JTB;;;;;GFRA2;PAFAH2;;;;;;;RIT1;
RUNDC3A;;;;;LDLRAD4;EYA3;;;;;;;RMND1;
BLCAP;;;;;TSPAN5;WASF2;;;;;;;RNASEH2A;
DBF4;;;;;ADAL;ABHD3;;;;;;;RNASEH2B;
SPIN1;;;;;NSG1;TSPAN33;;;;;;;RNASEH2C;
SRSF8;;;;;LETM1;AHCYL2;;;;;;;RNF113A;
C11orf58;;;;;CPLX1;NCF1;;;;;;;RNF125;
PDIA5;;;;;UQCRFS1;PKD1L1;;;;;;;RNF13;
SERINC3;;;;;MAP2K1;TAGLN2;;;;;;;RNF216;
EBNA1BP2;;;;;UPF3A;F11R;;;;;;;RPE65;
CLP1;;;;;PARM1;FGF17;;;;;;;RPGRIP1;
CCNI;;;;;UBE2V2;FCER1G;;;;;;;RPL10;
RAB35;;;;;GSG1L;CACHD1;;;;;;;RPS20;
VAX1;;;;;KCNAB1;C1QC;;;;;;;RPS23;
POLS;;;;;IL1RAPL1;RUNX1;;;;;;;RPS6KA3;
WWP2;;;;;HINT1;TUBBP5;;;;;;;RRAS2;
RAPGEF4;;;;;INO80E;HK2;;;;;;;RREB1;
DUSP14;;;;;LUZP1;C1R;;;;;;;RRM2B;
ADAMTS8;;;;;ASPSCR1;ALDH4A1;;;;;;;RSPRY1;
RPP14;;;;;LDB2;FAM115D;;;;;;;RSRC1;
CIT;;;;;LINGO1;CCDC117;;;;;;;SAMHD1;
PTPRT;;;;;PCDH7;TMPRSS3;;;;;;;SARDH;
ZWINT;;;;;REPS2;CSTB;;;;;;;SARS;
CAPN10;;;;;FRMPD4;GAB3;;;;;;;SARS2;
KPTN;;;;;YWHAG;ITGB2;;;;;;;SATB2;
PKIG;;;;;KCNAB3;RALGDS;;;;;;;SC5D;
MYST2;;;;;NSG2;FTCD;;;;;;;SCN1A;
GLMN;;;;;NIPA1;ZDHHC12;;;;;;;SCN1B;
CORO1A;;;;;RNF150;TLCD1;;;;;;;SCN3A;
WDR45;;;;;PDCD6IP;S100A1;;;;;;;SCN8A;
AP4S1;;;;;ELP5;LMNA;;;;;;;SCO1;
RABL2B;;;;;SEMA3E;CCR5;;;;;;;SCO2;
RABL2A;;;;;HARS;FGFR4;;;;;;;SCUBE3;
C14orf1;;;;;DENND5B;ZNF394;;;;;;;SDHA;
NUDT6;;;;;DNAJC18;SQSTM1;;;;;;;SDHAF1;
NUDT4P1;;;;;RALGAPB;TUBA3FP;;;;;;;SDHD;
LZTS1;;;;;ELOVL6;IKZF3;;;;;;;SEC24C;
CELF3;;;;;DLGAP1;GRIN2C;;;;;;;SEC24D;
WIF1;;;;;IRF2BP1;ACOX1;;;;;;;SEMA3A;
AKAP11;;;;;DPY19L2P2;TBC1D3G;;;;;;;SEMA4A;
MRPL3;;;;;SDR16C5;ITGA5;;;;;;;SEPSECS;
POLG2;;;;;KIAA0232;NAGS;;;;;;;SERAC1;
NXPH3;;;;;GSTA4;ALOX15;;;;;;;SERPINH1;
KLHL2;;;;;TANC2;CXCL16;;;;;;;SETD1A;
KLF12;;;;;HS6ST2;TNFSF13;;;;;;;SETD2;
POU6F2;;;;;PRKCE;FGF11;;;;;;;SFXN4;
LYPLA2;;;;;NETO2;RPL26;;;;;;;SGCE;
DDX42;;;;;KCNK3;CCNF;;;;;;;SGPL1;
PDAP1;;;;;PGAM1;ASRGL1;;;;;;;SHH;
MGLL;;;;;CDK5R2;RPL29;;;;;;;SIK1;
TWF2;;;;;MAP6;TAL1;;;;;;;SIL1;
ITGA11;;;;;CLSTN1;PPAP2B;;;;;;;SIM1;
RNF44;;;;;ENC1;KLHL21;;;;;;;SIN3A;
DLGAP4;;;;;CAMTA1;SEPN1;;;;;;;SIX3;
RAB11FIP2;;;;;TLN2;AK4;;;;;;;SKI;
FRMPD1;;;;;EPHX4;JAK1;;;;;;;SLC12A6;
CPEB3;;;;;USP19;FBLIM1;;;;;;;SLC13A3;
